STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
2425,W BROADWAY,9,Maro Investments Ltd,3,"[49.2639672, -123.1607267]"
2485,W BROADWAY,32,bcIMC Realty Corporation,4,"[49.26399439999999, -123.1621563]"
2879,W BROADWAY,8,Ted Tsoromocos,1,"[49.26413059999999, -123.1698502]"
57,W CORDOVA ST,54,Fortin Holdings Ltd,30,"[49.2827839, -123.1058442]"
29,W HASTINGS ST,42,Central City Foundation,20,"[49.28174920000001, -123.105701]"
33,W HASTINGS ST,29,0927000 B C Ltd,21,"[49.2818496, -123.1057864]"
35,W HASTINGS ST,32,Laurelwood Ventures Inc,21,"[49.2818708, -123.1058979]"
74,W HASTINGS ST,35,Grand Union Holdings Ltd,1,"[49.2819483, -123.1067882]"
106,W HASTINGS ST,36,Petrina Enterprises Inc,6,"[49.2820981, -123.1075699]"
1427,W KING EDWARD AV,10,All Star Development Ltd,4,"[49.249503, -123.1381582]"
133,W PENDER ST,114,Vancouver Native Housing Society,1,"[49.2814174, -123.108598]"
165,W PENDER ST,85,Mina Angelicola,29,"[49.28146590000001, -123.1089945]"
429,W PENDER ST,56,Provincial Rental Housing Corporation,1,"[49.2831516, -123.1123453]"
620,W PENDER ST,51,620 W Pender Holdings Ltd,1,"[49.2842143, -123.1141839]"
2177,WALL ST,17,Gordon Ho,2,"[49.2882276, -123.0601816]"
2184,WALL ST,21,600342 BC Ltd,2,"[49.28827649999999, -123.0600968]"
2199,WALL ST,28,Wall Street Holdings Ltd,2,"[49.2885478, -123.0599161]"
102,WATER ST,79,Winters Residence Ltd,2,"[49.2837897, -123.1066334]"
110,WATER ST,92,Provincial Rental Housing Corporation,122,"[49.2838514, -123.10696]"
122,WATER ST,147,Colonial Enterprises Ltd,7,"[49.2839694, -123.107114]"
1969,WATERLOO ST,9,Michael Tam & Samantha Tam,3,"[49.2688403, -123.1797056]"
3510,WELLINGTON AV,5,Chee Mon Chu & Jean Chu,4,"[49.2400582, -123.0301215]"
1750,WILLIAM ST,5,Thomas B Cave (Thomas Cave),2,"[49.2739404, -123.0684029]"
2575,WINDSOR ST,20,Irene Autieri & Mary-Anne Sidaway & Elizabeth Krause & Henry Krause,2,"[49.2615201, -123.0833397]"
322,WOODLAND DRIVE,29,Elleno Aloisio,9,"[49.2793718, -123.0726637]"
512,WOODLAND DRIVE,16,Yin F Tong (Yin Tong),1,"[49.2799974, -123.0724546]"
1200,WOODLAND DRIVE,6,Trevor French,1,"[49.2739434, -123.0733618]"
1209,WOODLAND DRIVE,6,Nightingale Holdings Ltd,4,"[49.273944, -123.0733987]"
1601,YEW ST,10,PY -1 Investments Ltd,2,"[49.2716813, -123.1550222]"
